,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hervey Bay,0,AU,1562833340,53,-25.3,152.85,71.6,6.93
1,New Norfolk,40,AU,1562833359,66,-42.78,147.06,48.2,11.41
2,Longyearbyen,75,NO,1562833360,81,78.22,15.63,46.4,2.24
3,Rikitea,15,PF,1562833361,84,-23.12,-134.97,73.22,17.13
4,Kununurra,11,AU,1562833362,17,-15.77,128.74,86.0,9.17
5,Neuquen,0,AR,1562833225,93,-38.95,-68.06,39.2,4.32
6,Naze,100,NG,1562833365,83,5.43,7.07,77.9,5.68
7,Esperance,40,AU,1562833366,72,-33.86,121.89,60.8,16.11
8,Zhezkazgan,100,KZ,1562833367,15,47.8,67.71,95.0,13.42
9,Stuttgart,20,DE,1562833300,67,48.78,9.18,68.0,2.24
10,Puerto Ayora,0,EC,1562833369,85,-0.74,-90.35,68.54,7.74
11,Vawkavysk,75,BY,1562833371,82,53.15,24.45,59.0,8.95
12,Port-Cartier,40,CA,1562833372,81,50.03,-66.88,48.99,5.82
13,Caconda,0,AO,1562833373,13,-13.73,15.06,72.14,5.3
14,Namibe,0,AO,1562833374,82,-15.19,12.15,64.4,9.17
15,Mount Gambier,75,AU,1562833375,76,-37.83,140.78,53.6,10.29
16,Ornskoldsvik,0,SE,1562833377,47,63.29,18.72,59.0,6.93
17,Kruisfontein,0,ZA,1562833378,28,-34.0,24.73,74.3,9.66
18,Marau,8,BR,1562833379,92,-28.45,-52.2,51.44,5.26
19,Ust-Kut,27,RU,1562833380,30,56.78,105.75,86.9,5.59
20,Atuona,100,PF,1562833174,81,-9.8,-139.03,80.42,17.63
21,Saint-Philippe,75,CA,1562833383,77,45.36,-73.48,73.0,2.24
22,Busselton,11,AU,1562833384,50,-33.64,115.35,62.01,12.68
23,Pryazha,75,RU,1562833385,66,61.69,33.62,50.0,11.18
24,Marquette,75,US,1562833321,87,46.54,-87.4,60.8,9.17
25,Hilton Head Island,20,US,1562833387,88,32.16,-80.75,82.99,3.36
26,Faanui,42,PF,1562833388,72,-16.48,-151.75,77.9,7.9
